number,position,points,grid,laps,status,driver_driver_id,constructor_name,fastest_lap_average_speed_speed,race_name,date
44,1,25.0,2,56,Finished,hamilton,Mercedes,207.235,Bahrain Grand Prix,2021-03-28
33,2,18.0,1,56,Finished,max_verstappen,Red Bull,208.984,Bahrain Grand Prix,2021-03-28
77,3,16.0,3,56,Finished,bottas,Mercedes,211.566,Bahrain Grand Prix,2021-03-28
4,4,12.0,7,56,Finished,norris,McLaren,206.398,Bahrain Grand Prix,2021-03-28
11,5,10.0,0,56,Finished,perez,Red Bull,207.334,Bahrain Grand Prix,2021-03-28
16,6,8.0,4,56,Finished,leclerc,Ferrari,205.112,Bahrain Grand Prix,2021-03-28
3,7,6.0,6,56,Finished,ricciardo,McLaren,205.233,Bahrain Grand Prix,2021-03-28
55,8,4.0,8,56,Finished,sainz,Ferrari,206.151,Bahrain Grand Prix,2021-03-28
22,9,2.0,13,56,Finished,tsunoda,AlphaTauri,205.603,Bahrain Grand Prix,2021-03-28
18,10,1.0,10,56,Finished,stroll,Aston Martin,205.378,Bahrain Grand Prix,2021-03-28
7,11,0.0,14,56,Finished,raikkonen,Alfa Romeo,204.672,Bahrain Grand Prix,2021-03-28
99,12,0.0,12,55,+1 Lap,giovinazzi,Alfa Romeo,204.823,Bahrain Grand Prix,2021-03-28
31,13,0.0,16,55,+1 Lap,ocon,Alpine F1 Team,204.548,Bahrain Grand Prix,2021-03-28
63,14,0.0,15,55,+1 Lap,russell,Williams,205.008,Bahrain Grand Prix,2021-03-28
5,15,0.0,20,55,+1 Lap,vettel,Aston Martin,203.871,Bahrain Grand Prix,2021-03-28
47,16,0.0,18,55,+1 Lap,mick_schumacher,Haas F1 Team,202.667,Bahrain Grand Prix,2021-03-28
10,17,0.0,5,52,Retired,gasly,AlphaTauri,207.069,Bahrain Grand Prix,2021-03-28
6,18,0.0,17,51,Retired,latifi,Williams,201.685,Bahrain Grand Prix,2021-03-28
14,19,0.0,9,32,Brakes,alonso,Alpine F1 Team,202.816,Bahrain Grand Prix,2021-03-28
9,20,0.0,19,0,Accident,mazepin,Haas F1 Team,,Bahrain Grand Prix,2021-03-28
44,1,25.0,2,56,Finished,hamilton,Mercedes,207.235,Bahrain Grand Prix,2021-03-28
33,2,18.0,1,56,Finished,max_verstappen,Red Bull,208.984,Bahrain Grand Prix,2021-03-28
77,3,16.0,3,56,Finished,bottas,Mercedes,211.566,Bahrain Grand Prix,2021-03-28
4,4,12.0,7,56,Finished,norris,McLaren,206.398,Bahrain Grand Prix,2021-03-28
11,5,10.0,0,56,Finished,perez,Red Bull,207.334,Bahrain Grand Prix,2021-03-28
16,6,8.0,4,56,Finished,leclerc,Ferrari,205.112,Bahrain Grand Prix,2021-03-28
3,7,6.0,6,56,Finished,ricciardo,McLaren,205.233,Bahrain Grand Prix,2021-03-28
55,8,4.0,8,56,Finished,sainz,Ferrari,206.151,Bahrain Grand Prix,2021-03-28
22,9,2.0,13,56,Finished,tsunoda,AlphaTauri,205.603,Bahrain Grand Prix,2021-03-28
18,10,1.0,10,56,Finished,stroll,Aston Martin,205.378,Bahrain Grand Prix,2021-03-28
7,11,0.0,14,56,Finished,raikkonen,Alfa Romeo,204.672,Bahrain Grand Prix,2021-03-28
99,12,0.0,12,55,+1 Lap,giovinazzi,Alfa Romeo,204.823,Bahrain Grand Prix,2021-03-28
31,13,0.0,16,55,+1 Lap,ocon,Alpine F1 Team,204.548,Bahrain Grand Prix,2021-03-28
63,14,0.0,15,55,+1 Lap,russell,Williams,205.008,Bahrain Grand Prix,2021-03-28
5,15,0.0,20,55,+1 Lap,vettel,Aston Martin,203.871,Bahrain Grand Prix,2021-03-28
47,16,0.0,18,55,+1 Lap,mick_schumacher,Haas F1 Team,202.667,Bahrain Grand Prix,2021-03-28
10,17,0.0,5,52,Retired,gasly,AlphaTauri,207.069,Bahrain Grand Prix,2021-03-28
6,18,0.0,17,51,Retired,latifi,Williams,201.685,Bahrain Grand Prix,2021-03-28
14,19,0.0,9,32,Brakes,alonso,Alpine F1 Team,202.816,Bahrain Grand Prix,2021-03-28
9,20,0.0,19,0,Accident,mazepin,Haas F1 Team,,Bahrain Grand Prix,2021-03-28
33,1,25.0,3,63,Finished,max_verstappen,Red Bull,227.96,Emilia Romagna Grand Prix,2021-04-18
44,2,19.0,1,63,Finished,hamilton,Mercedes,230.403,Emilia Romagna Grand Prix,2021-04-18
4,3,15.0,7,63,Finished,norris,McLaren,225.819,Emilia Romagna Grand Prix,2021-04-18
16,4,12.0,4,63,Finished,leclerc,Ferrari,225.473,Emilia Romagna Grand Prix,2021-04-18
55,5,10.0,11,63,Finished,sainz,Ferrari,225.154,Emilia Romagna Grand Prix,2021-04-18
3,6,8.0,6,63,Finished,ricciardo,McLaren,222.739,Emilia Romagna Grand Prix,2021-04-18
10,7,6.0,5,63,Finished,gasly,AlphaTauri,223.718,Emilia Romagna Grand Prix,2021-04-18
18,8,4.0,10,63,Finished,stroll,Aston Martin,224.32,Emilia Romagna Grand Prix,2021-04-18
31,9,2.0,9,63,Finished,ocon,Alpine F1 Team,222.512,Emilia Romagna Grand Prix,2021-04-18
14,10,1.0,15,63,Finished,alonso,Alpine F1 Team,222.526,Emilia Romagna Grand Prix,2021-04-18
11,11,0.0,2,63,Finished,perez,Red Bull,222.585,Emilia Romagna Grand Prix,2021-04-18
22,12,0.0,20,63,Finished,tsunoda,AlphaTauri,225.603,Emilia Romagna Grand Prix,2021-04-18
7,13,0.0,16,63,Finished,raikkonen,Alfa Romeo,225.548,Emilia Romagna Grand Prix,2021-04-18
99,14,0.0,17,62,+1 Lap,giovinazzi,Alfa Romeo,222.378,Emilia Romagna Grand Prix,2021-04-18
5,15,0.0,0,61,Gearbox,vettel,Aston Martin,223.491,Emilia Romagna Grand Prix,2021-04-18
47,16,0.0,18,61,+2 Laps,mick_schumacher,Haas F1 Team,223.156,Emilia Romagna Grand Prix,2021-04-18
9,17,0.0,19,61,+2 Laps,mazepin,Haas F1 Team,219.8,Emilia Romagna Grand Prix,2021-04-18
77,18,0.0,8,30,Collision,bottas,Mercedes,199.721,Emilia Romagna Grand Prix,2021-04-18
63,19,0.0,12,30,Collision,russell,Williams,204.203,Emilia Romagna Grand Prix,2021-04-18
6,20,0.0,14,0,Collision,latifi,Williams,,Emilia Romagna Grand Prix,2021-04-18
44,1,25.0,2,66,Finished,hamilton,Mercedes,206.971,Portuguese Grand Prix,2021-05-02
33,2,18.0,3,66,Finished,max_verstappen,Red Bull,207.581,Portuguese Grand Prix,2021-05-02
77,3,16.0,1,66,Finished,bottas,Mercedes,209.738,Portuguese Grand Prix,2021-05-02
11,4,12.0,4,66,Finished,perez,Red Bull,207.715,Portuguese Grand Prix,2021-05-02
4,5,10.0,7,66,Finished,norris,McLaren,205.038,Portuguese Grand Prix,2021-05-02
16,6,8.0,8,66,Finished,leclerc,Ferrari,205.541,Portuguese Grand Prix,2021-05-02
31,7,6.0,6,66,Finished,ocon,Alpine F1 Team,204.562,Portuguese Grand Prix,2021-05-02
14,8,4.0,13,66,Finished,alonso,Alpine F1 Team,206.718,Portuguese Grand Prix,2021-05-02
3,9,2.0,16,66,Finished,ricciardo,McLaren,204.31,Portuguese Grand Prix,2021-05-02
10,10,1.0,9,66,Finished,gasly,AlphaTauri,204.243,Portuguese Grand Prix,2021-05-02
55,11,0.0,5,66,Finished,sainz,Ferrari,203.471,Portuguese Grand Prix,2021-05-02
99,12,0.0,12,65,+1 Lap,giovinazzi,Alfa Romeo,203.862,Portuguese Grand Prix,2021-05-02
5,13,0.0,10,65,+1 Lap,vettel,Aston Martin,203.246,Portuguese Grand Prix,2021-05-02
18,14,0.0,17,65,+1 Lap,stroll,Aston Martin,204.352,Portuguese Grand Prix,2021-05-02
22,15,0.0,14,65,+1 Lap,tsunoda,AlphaTauri,204.133,Portuguese Grand Prix,2021-05-02
